Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Vehicle_Fleet,Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network
2.02E+13,140,5,0,0,Average,1472.69,4253.96,53698.6,14888.9,13424.6,49249,0,1500.87,0,1479.19,0,1448.76,0,1462.56,0,0.347793,0,0,0,8.22E-06,0,0,0,0,0,1.34192,0,1.56614,0,1.44109,0,12231,0,12177,0,12474,0,12367,1869,21132,6541.49,5282.99,21890,0,1560.08,0,1536.18,0,1497.58,0,1505.91,0,0.342929,0,0,0,6.23E-06,0,0,0,0,0,1.18334,0,1.39371,0,1.27657,0,5450,0,5375,0,5517,0,5548,5074
2.02E+13,140,5,10,0,Average,1737.13,4424.7,48797.5,15486.4,12199.4,47846,1546.09,1736.65,1788.33,1747.39,1755.85,1730.11,1995.78,1718.53,0.34604,0.376791,0,0,6.92E-06,8.74E-06,0,0,0,0,1.11527,1.26157,1.3346,1.49693,1.084,1.36662,1166,10672,1160,10809,1189,10715,1213,10922,2002.16,15496.7,7007.55,3874.17,21393,1737.76,1948.42,2102.08,1996.4,2016.92,1945.28,2240.89,1957.93,0.346608,0.377338,0,0,5.46E-06,6.99E-06,0,0,0,0,0.694969,0.907041,0.842677,1.07197,0.650446,0.997797,480,4865,508,4801,521,4779,576,4863,9480
2.02E+13,140,5,20,0,Average,1410.32,3939.95,50997.9,13789.8,12749.5,47962,1296.66,1426.94,1367.02,1404.45,1448.6,1397.02,1397.13,1446.13,0.31532,0.332198,0,0,6.78E-06,9.09E-06,0,0,0,0,1.19926,1.35597,1.39967,1.56821,1.17972,1.44806,2442,9542,2421,9482,2473,9559,2436,9607,1515.13,17984.7,5302.95,4496.19,20178,1206.57,1461.34,1374.76,1441.57,1453.45,1417.86,1462.89,1458.69,0.278063,0.31188,0,0,4.54E-06,5.56E-06,0,0,0,0,1.00379,1.12948,1.15062,1.298,0.931757,1.23616,978,3986,1034,3941,1107,4005,1033,4094,4326
2.02E+13,140,5,30,0,Average,1401.59,3935.37,53576.1,13773.8,13394,49296,1296.55,1365.22,1471.03,1377.74,1460.48,1392.16,1562.22,1390.61,0.318215,0.327395,0,0,6.23E-06,7.61E-06,0,0,0,0,1.21169,1.40829,1.42481,1.64454,1.19795,1.47775,3710,8414,3674,8535,3769,8756,3736,8702,1595.14,20035.7,5582.99,5008.93,21138,1335.73,1429.54,1503.05,1481.19,1514.79,1498.46,1657.25,1462.86,0.30826,0.319413,0,0,4.59E-06,7.00E-06,0,0,0,0,1.01584,1.2664,1.1882,1.44877,0.993097,1.27344,1493,3553,1681,3509,1742,3670,1761,3729,3610
2.02E+13,140,5,40,0,Average,1386.69,3797.58,50185.7,13291.5,12546.4,48716,1292.56,1332.09,1523.42,1321.24,1487.22,1318.4,1629.61,1310.02,0.314853,0.319027,0,0,4.81E-06,5.83E-06,0,0,0,0,1.15285,1.37352,1.34416,1.60099,1.0898,1.46799,4861,7106,4925,7196,4879,7325,5023,7401,1519.8,17961.7,5319.29,4490.41,20857,1229.7,1404.72,1622.86,1391.71,1577.47,1389.87,1731.91,1369.81,0.287727,0.3135,0,0,2.80E-06,4.82E-06,0,0,0,0,0.897563,1.17661,1.0517,1.43255,0.769519,1.29963,2022,2992,2201,3030,2161,3039,2337,3075,4847
2.02E+13,140,5,50,0,Average,1365.78,3674.42,49146.5,12860.5,12286.6,47991,1292.29,1230.04,1505.71,1216.03,1521.29,1236,1692.25,1226.15,0.320317,0.303427,0,0,4.41E-06,5.55E-06,0,0,0,0,1.16682,1.38314,1.35466,1.63054,1.10297,1.50103,5938,5841,5971,5954,6087,6084,6050,6066,1377.84,17429.7,4822.43,4357.43,20204,1172.9,1233.7,1600.9,1207.19,1628.07,1270.74,1816.52,1202.01,0.283962,0.288193,0,0,1.51E-06,3.01E-06,0,0,0,0,0.930379,1.21625,1.08686,1.47511,0.812694,1.36041,2458,2359,2650,2367,2712,2419,2844,2395,3957
2.02E+13,10,5,10,0,2030,365.272,354.015,1145.2,1239.05,286.299,3451,365.236,367.995,339.981,366.332,383.02,351.419,276,331.533,0.137712,0.138908,0,0,0,1.10E-06,0,0,0,0,1.138,1.25228,1.34909,1.3191,1.46503,1.09795,284,2267,52,419,49,346,4,30,23.4178,48.633,81.9624,12.1583,325,180.133,245.737,17,193.871,191.143,218.091,0,439.5,0.0677886,0.0921728,0,0,0,4.33E-06,0,0,0,0,0.0843678,0.721753,0.736314,0.864992,0,0.995152,30,232,1,31,7,22,0,2,0
2.02E+13,10,5,10,0,2030,365.272,354.015,1145.2,1239.05,286.299,3451,365.236,367.995,339.981,366.332,383.02,351.419,276,331.533,0.137712,0.138908,0,0,0,1.10E-06,0,0,0,0,1.138,1.25228,1.34909,1.3191,1.46503,1.09795,284,2267,52,419,49,346,4,30,23.4178,48.633,81.9624,12.1583,325,180.133,245.737,17,193.871,191.143,218.091,0,439.5,0.0677886,0.0921728,0,0,0,4.33E-06,0,0,0,0,0.0843678,0.721753,0.736314,0.864992,0,0.995152,30,232,1,31,7,22,0,2,0
2.02E+13,140,5,40,0,2030,1526.95,12920,17554,45220.2,4388.49,49262,1500.32,1528.09,1571.64,1532.14,1558.65,1558.35,1877.75,1473.34,0.351856,0.350358,0,0,6.21E-06,8.07E-06,0,0,0,0,1.18049,1.38154,1.3989,1.60754,1.18024,1.37931,14876,21937,2325,3538,2419,3646,212,309,5745.27,6659.18,20108.5,1664.8,22045,1568.06,1672.76,1824.6,1716.29,1787.61,1673.76,2239.26,1658.5,0.344276,0.354287,0,0,3.37E-06,6.90E-06,0,0,0,0,1.01755,1.16849,1.13475,1.34123,0.94413,1.14046,6604,9799,1042,1591,1102,1671,107,129,5285
2.02E+13,140,5,50,0,2030,1426.9,12370.6,17184,43297.2,4296.01,48817,1395.15,1433.96,1504.86,1435.65,1460.15,1437.48,1635.53,1506.54,0.338067,0.339686,0,0,7.16E-06,9.83E-06,0,0,0,0,1.22771,1.36658,1.38504,1.60689,1.25749,1.51806,18326,18179,2950,3039,2910,2944,245,224,5151.27,6393.43,18029.4,1598.36,21377,1375.11,1528.53,1628.96,1462.55,1584.99,1538.12,1689.14,1561.58,0.313186,0.335356,0,0,6.41E-06,8.13E-06,0,0,0,0,1.00419,1.11539,1.14846,1.3852,0.968749,1.36887,7903,7980,1300,1362,1293,1323,111,105,3535
