Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Vehicle_Fleet,Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network
20230803235623,150,5,0,0,2030,1631.39,14161.5,18196.7,49565.2,4549.18,51982,0,1633.73,0,1627.88,0,1616.62,0,1675.66,0,0.363375,0,0,0,8.80945e-06,0,0,0,0,0,1.29083,0,1.50837,0,1.36044,0,38972,0,6205,0,6282,0,523,6554.96,6927.32,22942.4,1731.83,24353,0,1753.75,0,1719.22,0,1691.89,0,1742.22,0,0.35951,0,0,0,5.46523e-06,0,0,0,0,0,1.03633,0,1.22595,0,1.13795,0,18233,0,2918,0,2950,0,252,7562
20230804000527,150,5,10,0,2030,1614.13,13337.9,17298,46682.7,4324.49,49519,1469.4,1637.24,1520.91,1593.43,1616.04,1599.2,1513.31,1685.11,0.337451,0.362766,0,0,7.4111e-06,7.40955e-06,0,0,0,0,1.14758,1.28767,1.30645,1.51572,1.05631,1.42652,3781,33250,597,5399,572,5438,45,437,5570.57,6104.05,19497,1526.01,21566,1515.88,1717.57,1563.67,1690.78,1606.41,1687.31,1279.56,1641.51,0.319739,0.348321,0,0,5.03437e-06,6.58965e-06,0,0,0,0,0.875377,1.05991,0.91822,1.22666,0.733395,1.18717,1577,14545,264,2349,234,2366,18,213,5581
20230804001419,150,5,20,0,2030,1429.4,13411.6,19376.6,46940.5,4844.15,53696,1351.63,1439.82,1524.35,1461.74,1541.09,1411.08,1470.63,1315.11,0.324167,0.336744,0,0,6.45679e-06,8.94027e-06,0,0,0,0,1.22406,1.35637,1.4064,1.55823,1.08046,1.44619,8085,32044,1213,5241,1315,5285,119,394,5926.07,7832.18,20741.3,1958.04,24558,1376.17,1494.93,1646.86,1507.47,1653.33,1449.66,1624,1363.51,0.312202,0.328377,0,0,4.19894e-06,6.18747e-06,0,0,0,0,1.02663,1.19479,1.19298,1.34769,0.776354,1.24083,3563,14659,576,2476,616,2445,52,171,5874
20230804002405,150,5,30,0,2030,1617.76,14245.5,17983.6,49859.1,4495.9,52608,1524.44,1636.13,1778.34,1629.85,1749.39,1617.04,1603.23,1553.05,0.351358,0.365906,0,0,7.24681e-06,1.06459e-05,0,0,0,0,1.14338,1.30322,1.31705,1.53839,1.14661,1.32549,11650,27745,1873,4431,1915,4478,154,362,6541.1,6522.02,22893.8,1630.5,24282,1622.82,1817.1,2017.33,1791.95,1964.54,1826.46,1852.5,1738.17,0.343543,0.368488,0,0,5.30816e-06,8.3065e-06,0,0,0,0,0.849557,1.02147,0.97162,1.23108,0.772308,1.02668,5183,12919,898,2091,922,2036,72,161,7053
20230804003320,150,5,40,0,2030,1468.6,13599,18851.2,47596.4,4712.8,53276,1443.76,1466.85,1535.6,1480.81,1476.24,1513.41,1541.38,1493.13,0.342525,0.341963,0,0,6.02492e-06,7.94907e-06,0,0,0,0,1.16624,1.36023,1.38933,1.57586,1.13519,1.55065,15945,23796,2536,3878,2643,3919,231,328,6164.44,7460.18,21575.5,1865.04,24500,1452.03,1578.89,1691.99,1612.36,1668.51,1596.89,1667.19,1565.17,0.327817,0.343778,0,0,2.45847e-06,7.09924e-06,0,0,0,0,0.971875,1.19339,1.18599,1.35736,0.853556,1.38975,7271,10998,1180,1777,1177,1840,108,149,5861
20230804004228,150,5,50,0,2030,1458.68,13413,18317.6,46945.7,4579.4,52598,1472.59,1415.9,1588.09,1455.28,1542.51,1408.92,1536.02,1583.7,0.347477,0.336191,0,0,7.16261e-06,7.32657e-06,0,0,0,0,1.17434,1.35885,1.35704,1.6091,1.10064,1.42414,19600,19639,3143,3219,3290,3180,246,281,5862.35,7109.32,20518.2,1777.33,24065,1421.64,1481.53,1670.2,1485.66,1684.08,1506.79,1631.95,1540.62,0.322214,0.332798,0,0,4.28745e-06,6.47813e-06,0,0,0,0,0.912496,1.18858,1.08957,1.45761,0.845955,1.2131,8952,8948,1494,1507,1514,1407,110,133,5337
20230804005204,150,5,60,0,2030,1514.34,13866.3,17965.8,48532.1,4491.44,53128,1505.66,1496.9,1563.47,1574.6,1564.47,1498.91,1582.83,1335.74,0.349439,0.346758,0,0,7.42018e-06,9.09197e-06,0,0,0,0,1.18131,1.37218,1.34751,1.60626,1.09723,1.39678,23840,15964,3800,2602,3896,2505,317,204,6193.8,6973.96,21678.3,1743.49,24898,1484.57,1574.68,1674.75,1568.97,1708.55,1592.55,1702.35,1573.99,0.326181,0.341946,0,0,4.79136e-06,7.55128e-06,0,0,0,0,0.910769,1.16756,1.08028,1.40252,0.842674,1.38857,11033,7589,1750,1292,1807,1195,144,88,7026
20230804010147,150,5,70,0,2030,1551.28,13875.2,17387.2,48563.2,4346.8,52260,1542.43,1488.68,1680.07,1500.01,1716.36,1476.89,1532.13,1462.08,0.356724,0.347404,0,0,7.52446e-06,9.24619e-06,0,0,0,0,1.16576,1.34015,1.38226,1.59299,1.13216,1.43571,27378,11827,4174,1993,4348,1976,386,178,6238.11,6620.28,21833.4,1655.07,24502,1573.59,1587.43,1819.04,1580.81,1829.35,1642.28,1789.37,1677.42,0.338294,0.345823,0,0,5.2297e-06,8.1616e-06,0,0,0,0,0.900544,1.1259,1.07775,1.39802,0.912649,1.17304,12658,5656,2034,962,2058,891,166,77,6572
20230804011208,150,5,80,0,2030,1622.99,14500.7,17000.2,50752.3,4250.06,52835,1616.16,1565.24,1719.26,1557.47,1696.54,1532.69,1690.96,1517.48,0.367344,0.357949,0,0,8.39596e-06,9.88336e-06,0,0,0,0,1.16672,1.30813,1.35228,1.59196,1.073,1.47633,31786,7890,5094,1268,4966,1303,424,104,6543.6,6406.87,22902.6,1601.72,25642,1599.38,1645.6,1778.87,1669.57,1763.96,1593.19,1851.89,1538.11,0.339793,0.347667,0,0,6.01051e-06,6.17815e-06,0,0,0,0,0.874431,1.07578,1.01532,1.31292,0.787136,1.27555,15347,3822,2523,619,2447,624,206,54,7325
20230804012223,150,5,90,0,2030,1621.67,14129,15862,49451.4,3965.49,52031,1599.01,1583.56,1699.87,1546.89,1709.52,1668.55,1680.24,1842.38,0.361519,0.354194,0,0,6.4658e-06,6.72288e-06,0,0,0,0,1.13449,1.30331,1.30194,1.51434,1.02655,1.36718,35267,3894,5427,604,5694,638,454,53,6408.74,5415.24,22430.6,1353.81,24686,1620.39,1762.43,1879.15,1738.37,1897.29,1829.09,1904.84,1756.04,0.341012,0.360394,0,0,5.11123e-06,3.59122e-06,0,0,0,0,0.814026,1.02669,0.965071,1.15947,0.658255,0.906589,16892,1799,2515,286,2663,295,208,28,8998
